"X","year","age","maritl","race","education","region","jobclass","health","health_ins","logwage","wage","Resp"
11141,2005,40,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",3.920123326,50.40666086,28.46
448410,2009,75,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.447158031,85.38394038,41.241
305116,2007,40,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5.079181246,160.6424754,38.15
233002,2006,38,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.544068044,94.07271475,29.016
8684,2005,49,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.626186335,277.6014175,49.262
229379,2006,43,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.431363764,84.04595765,36.838
86064,2004,34,"2. Married","4. Other","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.176091259,65.11085372,34.828
378472,2008,57,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.755874856,116.2653241,38.739
157244,2003,18,"1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.255272505,70.47601965,29.12
82694,2004,55,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.276461804,195.676308,42.933
7690,2005,51,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.619093331,101.4020523,39.473
377879,2008,33,"1. Never Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.397940009,81.28325328,27.949
9747,2005,34,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.716003344,111.7208494,29.593
233301,2006,36,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.498475968,89.88004678,37.916
157123,2003,56,"1. Never Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.477121255,87.98103279,29.316
230823,2006,70,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.477121255,87.98103279,28.91
80406,2004,25,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.643452676,103.9024706,28.614
228851,2006,32,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.662757832,105.9278108,35.638
153810,2003,27,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.193124598,66.22940829,33.651
81383,2004,28,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",3.544068044,34.60741773,23.385
303642,2007,27,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.698970004,109.8339856,29.921
87492,2004,43,"1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",3.812913357,45.28216999,23.273
8692,2005,50,"1. Never Married","4. Other","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.301029996,73.77574327,29.184
86929,2004,39,"2. Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.397940009,81.28325328,34.208
380872,2008,52,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.041392685,154.685293,42.319
449480,2009,35,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.590617833,267.9010869,44.973
305136,2007,57,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.176091259,176.9896505,42.859
227963,2006,25,"1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.193124598,66.22940829,28.564
232863,2006,33,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.755874856,116.2653241,30.049
8621,2005,57,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",5.301029996,200.5432623,43.393
379668,2008,71,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.62324929,101.8243521,42.67
84595,2004,43,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.606885241,272.2947832,47.071
154634,2003,23,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",3.556302501,35.03342132,19.029
450864,2009,30,"1. Never Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.740362689,114.4757133,28.348
84377,2004,22,"1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.397940009,81.28325328,28.621
234086,2006,59,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",5.301029996,200.5432623,43.334
154482,2003,28,"1. Never Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5,148.4131591,31.302
85916,2004,61,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.602059991,99.6894637,40.184
161065,2003,34,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.716003344,111.7208494,37.128
12003,2005,43,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.029383778,152.838801,39.103
228071,2006,54,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.763427994,117.1468169,40.184
13479,2005,69,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.353339095,77.7376033,43.825
81494,2004,41,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.477121255,87.98103279,37.126
159076,2003,48,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.832508913,125.5254984,37.644
159207,2003,49,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.814913181,123.336104,38.095
447501,2009,42,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.064457989,158.2946214,39.259
153767,2003,37,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.301029996,200.5432623,40.121
81071,2004,55,"2. Married","3. Asian","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.602059991,99.6894637,39.918
376442,2008,21,"1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.255272505,70.47601965,29.741
87299,2004,58,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.544068044,94.07271475,41.178
228621,2006,31,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.397940009,81.28325328,28.864
232494,2006,25,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.397940009,81.28325328,28.696
228400,2006,32,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.612783857,100.7642728,29.562
451860,2009,40,"1. Never Married","2. Black","1. < HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.544068044,94.07271475,27.612
157058,2003,44,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.602059991,99.6894637,35.904
159583,2003,60,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.591980114,268.266292,49.459
233759,2006,23,"1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.397940009,81.28325328,28.93
159224,2003,63,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.73239376,113.5670896,42.051
374859,2008,44,"1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.477121255,87.98103279,29.547
11710,2005,47,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.857332496,128.6804882,40.71
86298,2004,61,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.670245853,106.7239776,41.976
453021,2009,55,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.190331698,66.04469423,39.73
161431,2003,24,"1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",3.942008053,51.52195631,27.89
305888,2007,42,"3. Widowed","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.447158031,85.38394038,29.891
232199,2006,25,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.342422681,76.89360252,35.398
86568,2004,34,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.505149978,90.48191336,29.601
447500,2009,53,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.220631019,68.07642829,38.726
452506,2009,53,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.875061263,130.9821774,41.349
450908,2009,70,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","2. No",4.851258349,127.901233,43.166
82573,2004,47,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.876910311,131.2245938,39.888
159196,2003,46,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.602059991,99.6894637,37.051
156110,2003,33,"4. Divorced","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.342422681,76.89360252,27.909
14148,2005,34,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.681241237,107.9039239,36.474
232000,2006,22,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.397940009,81.28325328,30.307
453486,2009,74,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.602059991,99.6894637,44.433
156065,2003,40,"2. Married","2. Black","3. Some College","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.591064607,98.59934386,36.396
229079,2006,45,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.301029996,200.5432623,42.65
450905,2009,43,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.053078443,156.5035109,39.367
10660,2005,33,"2. Married","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.976349979,144.944365,37.281
449456,2009,62,"2. Married","2. Black","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.77815125,118.8843593,41.348
374660,2008,37,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.799340549,121.4303138,37.788
87463,2004,54,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.716003344,111.7208494,40.665
9273,2005,34,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.230448921,68.74808773,35.939
377517,2008,50,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.740362689,114.4757133,30.64
231592,2006,46,"4. Divorced","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.556302501,95.23071257,27.442
303825,2007,41,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.477121255,87.98103279,38.149
156310,2003,63,"4. Divorced","2. Black","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.163161375,64.27439722,29.05
303376,2007,38,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.857332496,128.6804882,36.592
230586,2006,35,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.740362689,114.4757133,34.7
450109,2009,29,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.72427587,112.6488963,33.433
379991,2008,66,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.397940009,81.28325328,42.65
87291,2004,37,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.329357194,75.89548482,36.643
228517,2006,39,"2. Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.719720651,112.136923,37.984
160971,2003,42,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.447158031,85.38394038,37.481
307464,2007,51,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.544068044,94.07271475,28.507
449246,2009,55,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.740362689,114.4757133,41.093
233043,2006,51,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.176091259,176.9896505,40.618
377184,2008,38,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",5.623217234,276.7784133,44.661
8033,2005,49,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.62324929,101.8243521,38.593
233687,2006,42,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.51851394,91.69922611,37.616
447751,2009,43,"5. Separated","1. White","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",4.462397998,86.69515483,28.715
230398,2006,38,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.093421685,162.9464607,37.33
378429,2008,59,"2. Married","3. Asian","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.936010796,139.2137881,42.446
447412,2009,57,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.556302501,95.23071257,40.065
13924,2005,25,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.204119983,66.96164432,28.872
87630,2004,49,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.87667961,131.1943236,38.307
84600,2004,41,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.505149978,90.48191336,36.752
451987,2009,38,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.740362689,114.4757133,36.131
160246,2003,61,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.371067862,79.1280845,41.728
307755,2007,49,"4. Divorced","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.650064561,104.5917379,27.334
375007,2008,52,"4. Divorced","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.886490725,132.4878211,30.402
303430,2007,43,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.954242509,141.7751723,40.62
379330,2008,60,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.812913357,123.0896998,40.903
8339,2005,46,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.903089987,134.7053751,39.635
83190,2004,21,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.021189299,55.76739051,26.917
452580,2009,61,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.672097858,106.9218141,40.861
302701,2007,32,"2. Married","2. Black","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.77815125,118.8843593,35.841
83222,2004,58,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.477121255,87.98103279,40.839
159871,2003,35,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.48784512,88.92960664,29.594
82108,2004,26,"1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.397940009,81.28325328,30.55
229714,2006,32,"1. Never Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",4.544068044,94.07271475,29.528
159048,2003,37,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.672097858,106.9218141,34.866
302868,2007,22,"1. Never Married","3. Asian","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.079181246,59.09706408,28.096
10499,2005,51,"1. Never Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.176091259,65.11085372,28.91
84127,2004,44,"4. Divorced","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.792391689,120.5894365,29.89
11661,2005,35,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.06069784,157.7005277,36.107
86282,2004,60,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.86332286,129.4536446,42.335
305327,2007,40,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",5.176091259,176.9896505,40.192
81655,2004,35,"1. Never Married","1. White","1. < HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.079181246,59.09706408,26.264
303953,2007,35,"2. Married","1. White","5. Advanced Degree","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.544068044,94.07271475,35.749
374752,2008,47,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.903089987,134.7053751,NA
159109,2003,43,"1. Never Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.397940009,81.28325328,29.706
159285,2003,33,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.397940009,81.28325328,36.63
159909,2003,60,"4. Divorced","1. White","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.033423755,153.4575153,NA
378138,2008,38,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.919078092,136.8763676,37.336
9786,2005,53,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.318063335,75.04315402,39.197
86191,2004,55,"2. Married","1. White","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.86923172,130.2208324,41.773
154759,2003,57,"2. Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",4.653212514,104.9215065,40.628
12122,2005,64,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",3.903089987,49.55533812,39.455
306309,2007,43,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.819543936,123.9085676,39.219
377137,2008,35,"2. Married","2. Black","3. Some College","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.812913357,123.0896998,37.937
375944,2008,54,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","2. No",4.3586961,78.15516141,39.779
304068,2007,45,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.301029996,73.77574327,39.173
156557,2003,58,"4. Divorced","3. Asian","4. College Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.929418926,138.2991269,29.568
306779,2007,48,"2. Married","1. White","4. College Grad","2. Middle Atlantic","2. Information","1. <=Good","2. No",4.84509804,127.1157438,39.253
161021,2003,46,"2. Married","3. Asian","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.230448921,68.74808773,38.314
85966,2004,46,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.435462121,84.39111475,37.501
453692,2009,55,"2. Married","1. White","1. < HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.447158031,85.38394038,40.652
233313,2006,51,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.857332496,128.6804882,38.983
9681,2005,49,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.255272505,70.47601965,38.242
379875,2008,34,"1. Never Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.342422681,76.89360252,29.068
305250,2007,53,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","2. No",5,148.4131591,39.161
84642,2004,40,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5,148.4131591,38.224
451306,2009,50,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.170261715,175.9608831,42.26
228212,2006,37,"4. Divorced","1. White","1. < HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.591064607,98.59934386,30.796
157989,2003,39,"2. Married","1. White","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.977723605,145.1436012,37.76
88028,2004,52,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.602059991,99.6894637,38.634
155697,2003,50,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","2. Information","2. >=Very Good","1. Yes",4.949390007,141.0888744,40.062
234523,2006,48,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.812913357,123.0896998,38.976
233149,2006,47,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.86332286,129.4536446,38.713
13626,2005,27,"2. Married","1. White","4. College Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.716003344,111.7208494,34.63
234640,2006,39,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.643452676,103.9024706,36.276
453255,2009,44,"2. Married","2. Black","2. HS Grad","2. Middle Atlantic","2. Information","1. <=Good","1. Yes",4.77815125,118.8843593,39.722
154195,2003,37,"2. Married","2. Black","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",5.021189299,151.5914842,37.603
232628,2006,52,"2. Married","1. White","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.62324929,101.8243521,39.249
85539,2004,26,"1. Never Married","3. Asian","3. Some College","2. Middle Atlantic","1. Industrial","2. >=Very Good","1. Yes",4.602059991,99.6894637,28.043
377464,2008,39,"2. Married","3. Asian","5. Advanced Degree","2. Middle Atlantic","1. Industrial","1. <=Good","1. Yes",4.602059991,99.6894637,36.39
230582,2006,25,"2. Married","2. Black","2. HS Grad","2. Middle Atlantic","1. Industrial","1. <=Good","2. No",4.602059991,99.6894637,32.876
